Wave,TotTrans
0.4,0.1412
0.401,0.1423
0.402,0.1434
0.403,0.1445
0.404,0.1456
0.405,0.1466
0.406,0.1477
0.407,0.1488
0.408,0.1498
0.409,0.1509
0.41,0.1519
0.411,0.153
0.412,0.1541
0.413,0.1551
0.414,0.1561
0.415,0.1573
0.416,0.1583
0.417,0.1594
0.418,0.1604
0.419,0.1614
0.42,0.1624
0.421,0.1635
0.422,0.1645
0.423,0.1655
0.424,0.1665
0.425,0.1676
0.426,0.1687
0.427,0.1697
0.428,0.1706
0.429,0.1718
0.43,0.1728
0.431,0.1737
0.432,0.1748
0.433,0.1758
0.434,0.1767
0.435,0.1777
0.436,0.1788
0.437,0.1799
0.438,0.1809
0.439,0.1817
0.44,0.1827
0.441,0.1838
0.442,0.1847
0.443,0.1855
0.444,0.1866
0.445,0.1874
0.446,0.1885
0.447,0.1897
0.448,0.1906
0.449,0.1916
0.45,0.1927
0.451,0.1937
0.452,0.1946
0.453,0.1956
0.454,0.1966
0.455,0.1976
0.456,0.1985
0.457,0.1994
0.458,0.2003
0.459,0.2012
0.46,0.2021
0.461,0.203
0.462,0.204
0.463,0.2049
0.464,0.2058
0.465,0.2069
0.466,0.2079
0.467,0.2088
0.468,0.2096
0.469,0.2106
0.47,0.2114
0.471,0.2124
0.472,0.2133
0.473,0.2143
0.474,0.2151
0.475,0.216
0.476,0.2169
0.477,0.2178
0.478,0.2186
0.479,0.2194
0.48,0.2201
0.481,0.221
0.482,0.2218
0.483,0.2228
0.484,0.2238
0.485,0.2246
0.486,0.2256
0.487,0.2265
0.488,0.2274
0.489,0.2281
0.49,0.229
0.491,0.23
0.492,0.2309
0.493,0.2317
0.494,0.2325
0.495,0.2333
0.496,0.2341
0.497,0.2349
0.498,0.2358
0.499,0.2365
0.5,0.2372
0.501,0.2377
0.502,0.238
0.503,0.2378
0.504,0.2367
0.505,0.2392
0.506,0.2399
0.507,0.2407
0.508,0.2416
0.509,0.2432
0.51,0.2444
0.511,0.2455
0.512,0.2465
