Wave,TotTrans
4.00E-01,0.1412
4.01E-01,0.1423
4.02E-01,0.1434
4.03E-01,0.1445
4.04E-01,0.1456
4.05E-01,0.1466
4.06E-01,0.1477
4.07E-01,0.1488
4.08E-01,0.1498
4.09E-01,0.1509
4.10E-01,0.1519
4.11E-01,0.153
4.12E-01,0.1541
4.13E-01,0.1551
4.14E-01,0.1561
4.15E-01,0.1573
4.16E-01,0.1583
4.17E-01,0.1594
4.18E-01,0.1604
4.19E-01,0.1614
4.20E-01,0.1624
4.21E-01,0.1635
4.22E-01,0.1645
4.23E-01,0.1655
4.24E-01,0.1665
4.25E-01,0.1676
4.26E-01,0.1687
4.27E-01,0.1697
4.28E-01,0.1706
4.29E-01,0.1718
4.30E-01,0.1728
4.31E-01,0.1737
4.32E-01,0.1748
4.33E-01,0.1758
4.34E-01,0.1767
4.35E-01,0.1777
4.36E-01,0.1788
4.37E-01,0.1799
4.38E-01,0.1809
4.39E-01,0.1817
4.40E-01,0.1827
4.41E-01,0.1838
4.42E-01,0.1847
4.43E-01,0.1855
4.44E-01,0.1866
4.45E-01,0.1874
4.46E-01,0.1885
4.47E-01,0.1897
4.48E-01,0.1906
4.49E-01,0.1916
4.50E-01,0.1927
4.51E-01,0.1937
4.52E-01,0.1946
4.53E-01,0.1956
4.54E-01,0.1966
4.55E-01,0.1976
4.56E-01,0.1985
4.57E-01,0.1994
4.58E-01,0.2003
4.59E-01,0.2012
4.60E-01,0.2021
4.61E-01,0.203
4.62E-01,0.204
4.63E-01,0.2049
4.64E-01,0.2058
4.65E-01,0.2069
4.66E-01,0.2079
4.67E-01,0.2088
4.68E-01,0.2096
4.69E-01,0.2106
4.70E-01,0.2114
4.71E-01,0.2124
4.72E-01,0.2133
4.73E-01,0.2143
4.74E-01,0.2151
4.75E-01,0.216
4.76E-01,0.2169
4.77E-01,0.2178
4.78E-01,0.2186
4.79E-01,0.2194
4.80E-01,0.2201
4.81E-01,0.221
4.82E-01,0.2218
4.83E-01,0.2228
4.84E-01,0.2238
4.85E-01,0.2246
4.86E-01,0.2256
4.87E-01,0.2265
4.88E-01,0.2274
4.89E-01,0.2281
4.90E-01,0.229
4.91E-01,0.23
4.92E-01,0.2309
4.93E-01,0.2317
4.94E-01,0.2325
4.95E-01,0.2333
4.96E-01,0.2341
4.97E-01,0.2349
4.98E-01,0.2358
4.99E-01,0.2365
5.00E-01,0.2372
5.01E-01,0.2377
5.02E-01,0.238
5.03E-01,0.2378
5.04E-01,0.2367
5.05E-01,0.2392
5.06E-01,0.2399
5.07E-01,0.2407
5.08E-01,0.2416
5.09E-01,0.2432
5.10E-01,0.2444
5.11E-01,0.2455
5.12E-01,0.2465
5.13E-01,0.2474
5.14E-01,0.2483
5.15E-01,0.2491
5.16E-01,0.2499
5.17E-01,0.2506
5.18E-01,0.2514
5.19E-01,0.2521
5.20E-01,0.2528
5.21E-01,0.2536
5.22E-01,0.2543
5.23E-01,0.2549
5.24E-01,0.2554
5.25E-01,0.2559
5.26E-01,0.2566
5.27E-01,0.2571
5.28E-01,0.2578
5.29E-01,0.2584
5.30E-01,0.259
5.31E-01,0.2597
5.32E-01,0.2604
5.33E-01,0.2611
5.34E-01,0.2619
5.35E-01,0.2627
5.36E-01,0.2635
5.37E-01,0.2643
5.38E-01,0.265
5.39E-01,0.2656
5.40E-01,0.266
5.41E-01,0.2657
5.42E-01,0.2664
5.43E-01,0.2675
5.44E-01,0.2679
5.45E-01,0.2687
5.46E-01,0.2689
5.47E-01,0.27
5.48E-01,0.2711
5.49E-01,0.272
5.50E-01,0.2729
5.51E-01,0.2738
5.52E-01,0.2747
5.53E-01,0.2755
5.54E-01,0.2764
5.55E-01,0.2772
5.56E-01,0.2779
5.57E-01,0.2786
5.58E-01,0.2793
5.59E-01,0.28
5.60E-01,0.2807
5.61E-01,0.2813
5.62E-01,0.2819
5.63E-01,0.2825
5.64E-01,0.2832
5.65E-01,0.2839
5.66E-01,0.2846
5.67E-01,0.2851
5.68E-01,0.2847
5.69E-01,0.2832
5.70E-01,0.2845
5.71E-01,0.2873
5.72E-01,0.2868
5.73E-01,0.2878
5.74E-01,0.2888
5.75E-01,0.2899
5.76E-01,0.2912
5.77E-01,0.2924
5.78E-01,0.2937
5.79E-01,0.295
5.80E-01,0.2961
5.81E-01,0.2972
5.82E-01,0.2981
5.83E-01,0.299
5.84E-01,0.2998
5.85E-01,0.3005
5.86E-01,0.3008
5.87E-01,0.3
5.88E-01,0.2952
5.89E-01,0.2865
5.90E-01,0.2863
5.91E-01,0.2923
5.92E-01,0.2889
5.93E-01,0.2963
5.94E-01,0.2943
5.95E-01,0.2911
5.96E-01,0.3004
5.97E-01,0.3002
5.98E-01,0.3033
5.99E-01,0.3056
6.00E-01,0.3081
6.01E-01,0.3106
6.02E-01,0.3121
6.03E-01,0.3135
6.04E-01,0.3146
6.05E-01,0.3157
6.06E-01,0.3167
6.07E-01,0.3177
6.08E-01,0.3187
6.09E-01,0.3198
6.10E-01,0.3208
6.11E-01,0.3219
6.12E-01,0.3229
6.13E-01,0.3239
6.14E-01,0.325
6.15E-01,0.326
